[Fri Mar 16 17:14:19.736851 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  21. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736869 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  22. App\\Http\\Middleware\\TrustProxies->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736886 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  23. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/fideloper/proxy/src/TrustProxies.php:56, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736902 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  24. App\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736919 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  25. Illuminate\\Routing\\Router->dispatch() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736936 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  26. Illuminate\\Routing\\Router->dispatchToRoute() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:590, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736952 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  27. Illuminate\\Routing\\Router->runRoute() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:601, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736970 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  28. Illuminate\\Routing\\Router->runRouteWithinStack() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.736985 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  29. Illuminate\\Routing\\Pipeline->then() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:660, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737014 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  30. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737031 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  31. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737047 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  32. Illuminate\\Routing\\Middleware\\ThrottleRequests->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737064 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  33. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Middleware/ThrottleRequests.php:57, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737080 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  34. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737096 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  35. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737113 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  36. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737129 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  37. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737145 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  38. Barryvdh\\Cors\\HandleCors->handle() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737161 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  39. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/barryvdh/laravel-cors/src/HandleCors.php:58, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737177 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  40. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737192 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  41. Illuminate\\Routing\\Route->run() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Router.php:658, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737208 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  42. Illuminate\\Routing\\Route->runController() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Route.php:169, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737224 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  43. Illuminate\\Routing\\ControllerDispatcher->dispatch() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Route.php:212, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737240 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  44. App\\Http\\Controllers\\API\\ContactAPIController->callAction() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45, referer: http://localhost:3000/
[Fri Mar 16 17:14:19.737268 2018] [php7:notice] [pid 4283] [client 127.0.0.1:43784] PHP  45. call_user_func_array:{/var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /var/www/html/api/server/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54, referer: http://localhost:3000/
